"Time","10-11 Riser Return","10-11 Riser Supply"
"2019-05-10 22:40:55",,94.1
"2019-05-10 22:43:25",87.8
"2019-05-10 22:46:50",,93.2
"2019-05-10 22:49:25",87.5
"2019-05-10 22:52:51",,92.2
"2019-05-10 22:55:13",87.1
"2019-05-10 22:58:44",,91.5
"2019-05-10 23:01:14",86.4
"2019-05-10 23:04:42",,90.6
"2019-05-10 23:07:07",86.2
"2019-05-10 23:10:38",,89.9
"2019-05-10 23:13:04",86.3
"2019-05-10 23:16:51",,89
"2019-05-10 23:19:00",86.5
"2019-05-10 23:22:33",,88.3
"2019-05-10 23:24:55",86.9
"2019-05-10 23:28:30",,87.6
"2019-05-10 23:30:52",87.1
"2019-05-10 23:34:29",,87
"2019-05-10 23:36:48",87.6
"2019-05-10 23:40:25",,86.4
"2019-05-10 23:42:44",88.1
"2019-05-10 23:46:21",,85.7
"2019-05-10 23:48:40",88.3
"2019-05-10 23:52:21",,85.2
"2019-05-10 23:54:41",88.4
"2019-05-10 23:58:21",,84.7
"2019-05-11 00:00:32",88.5
"2019-05-11 00:04:13",,84.2
"2019-05-11 00:06:28",88.6
"2019-05-11 00:10:14",,83.8
"2019-05-11 00:12:24",88.6
"2019-05-11 00:16:14",,83.3
"2019-05-11 00:18:20",88.6
"2019-05-11 00:22:03",,82.7
"2019-05-11 00:24:16",88.4
"2019-05-11 00:28:02",,82.4
"2019-05-11 00:30:13",88.4
"2019-05-11 00:34:02",,81.9
"2019-05-11 00:36:09",88.2
"2019-05-11 00:39:54",,81.4
"2019-05-11 00:42:06",88.1
"2019-05-11 00:45:54",,81.1
"2019-05-11 00:48:03",88.2
"2019-05-11 00:51:49",,80.7
"2019-05-11 00:53:59",88.3
"2019-05-11 00:57:46",,80.4
"2019-05-11 01:00:02",88.4
"2019-05-11 01:03:43",,80.2
"2019-05-11 01:05:54",88.6
"2019-05-11 01:09:44",,79.8
"2019-05-11 01:11:55",88.6
"2019-05-11 01:15:37",,79.6
"2019-05-11 01:17:49",88.4
"2019-05-11 01:21:40",,79.3
"2019-05-11 01:23:47",87.7
"2019-05-11 01:27:32",,79
"2019-05-11 01:29:45",87.5
"2019-05-11 01:33:28",,78.8
"2019-05-11 01:35:47",88.1
"2019-05-11 01:39:29",,78.6
"2019-05-11 01:41:40",88.5
"2019-05-11 01:45:23",,78.4
"2019-05-11 01:47:37",89
"2019-05-11 01:51:20",,78.3
"2019-05-11 01:53:32",89.2
"2019-05-11 01:57:18",,77.9
"2019-05-11 01:59:29",89.1
"2019-05-11 02:03:14",,77.7
"2019-05-11 02:05:26",88.9
"2019-05-11 02:09:14",,77.7
"2019-05-11 02:11:22",88.9
"2019-05-11 02:15:06",,77.6
"2019-05-11 02:17:19",88.5
"2019-05-11 02:21:03",,77.2
"2019-05-11 02:23:15",88.4
