"Time","Storage Tank 2 Outlet"
"2019-05-09 16:38:50",137.8
"2019-05-09 17:02:39",137.4
"2019-05-09 17:17:33",136.8
"2019-05-09 17:28:45",137.3
"2019-05-09 17:43:38",137.8
"2019-05-09 17:58:31",136.7
"2019-05-09 18:13:34",136.1
"2019-05-09 18:27:09",136.5
"2019-05-09 18:42:00",138.2
"2019-05-09 18:56:55",137.8
"2019-05-09 19:32:16",137
"2019-05-09 19:47:11",138
"2019-05-09 20:02:05",138
"2019-05-09 20:17:00",137.8
"2019-05-09 20:31:54",137.2
"2019-05-09 20:46:49",137.8
"2019-05-09 21:01:41",137.9
"2019-05-09 21:14:27",137.6
"2019-05-09 21:29:23",137.5
"2019-05-09 21:43:04",135.9
"2019-05-09 21:50:32",131.6
"2019-05-09 22:22:33",136.7
"2019-05-09 22:37:27",136.8
"2019-05-09 22:49:38",136.5
"2019-05-09 23:04:31",137.8
"2019-05-09 23:19:25",137.7
"2019-05-09 23:34:18",137.6
"2019-05-09 23:48:21",137.9
"2019-05-10 00:24:08",137
"2019-05-10 00:39:02",136.5
"2019-05-10 00:53:58",136.1
"2019-05-10 01:08:53",137.7
"2019-05-10 01:23:49",137.9
"2019-05-10 01:38:43",137.7
"2019-05-10 01:53:43",137.1
"2019-05-10 02:08:37",137.7
"2019-05-10 02:23:25",137.8
"2019-05-10 02:38:18",137.6
"2019-05-10 02:53:18",137.5
"2019-05-10 03:08:06",136.9
"2019-05-10 03:22:59",137.7
"2019-05-10 03:37:53",138.2
"2019-05-10 03:52:47",138.2
"2019-05-10 04:07:41",138
"2019-05-10 04:22:35",137.6
"2019-05-10 04:37:26",138.4
"2019-05-10 04:52:17",138.7
"2019-05-10 05:07:18",138.7
"2019-05-10 05:22:06",138.5
"2019-05-10 05:37:00",137.2
"2019-05-10 05:51:53",136.1
"2019-05-10 06:06:45",134
"2019-05-10 06:21:37",133.5
"2019-05-10 06:36:31",133.1
"2019-05-10 07:12:16",133
"2019-05-10 07:27:11",132.9
"2019-05-10 07:42:05",133
"2019-05-10 07:56:59",133.2
"2019-05-10 08:11:52",132.9
