"Time","TMV 1 DHW Outlet","DHW Return"
"2019-05-06 16:09:54",128.6
"2019-05-06 16:10:05",,124.6
"2019-05-06 16:12:49",,124.7
"2019-05-06 16:15:13",,124.5
"2019-05-06 16:17:44",,124.7
"2019-05-06 16:20:12",,124.7
"2019-05-06 16:22:43",,124.5
"2019-05-06 16:25:02",,124.5
"2019-05-06 16:26:32",128.5
"2019-05-06 16:27:31",,124.7
"2019-05-06 16:30:12",,124.6
"2019-05-06 16:32:32",,124.2
"2019-05-06 16:35:00",,123.9
"2019-05-06 16:37:51",,124.3
"2019-05-06 16:40:24",,124.5
"2019-05-06 16:42:11",128.5
"2019-05-06 16:42:50",,124.6
"2019-05-06 16:45:33",,124.4
"2019-05-06 16:48:03",,124.4
"2019-05-06 16:50:31",,124.4
"2019-05-06 16:53:38",,124.5
"2019-05-06 16:56:01",,124.2
"2019-05-06 16:59:03",,122.6
"2019-05-06 16:59:16",128.6
"2019-05-06 17:01:35",,122.3
"2019-05-06 17:03:58",,123.7
"2019-05-06 17:06:39",,124.5
"2019-05-06 17:10:34",,124.6
"2019-05-06 17:13:41",,124.7
"2019-05-06 17:16:05",,124.6
"2019-05-06 17:18:37",,124.8
"2019-05-06 17:20:24",128.9
"2019-05-06 17:21:21",,124.8
"2019-05-06 17:23:49",,124.8
"2019-05-06 17:26:15",,124.8
"2019-05-06 17:28:46",,124.7
"2019-05-06 17:31:54",,124.9
"2019-05-06 17:32:11",129
"2019-05-06 17:34:50",,124.5
"2019-05-06 17:37:47",,122.2
"2019-05-06 17:40:56",,120.7
"2019-05-06 17:43:29",,121.2
"2019-05-06 17:47:00",,123.1
"2019-05-06 17:49:04",129
"2019-05-06 17:50:33",,123.7
"2019-05-06 17:53:09",,123.3
"2019-05-06 17:55:38",,124
"2019-05-06 17:58:38",,124.5
"2019-05-06 18:01:48",,124.5
"2019-05-06 18:01:59",128.9
"2019-05-06 18:04:12",,124.5
"2019-05-06 18:07:06",,124.7
"2019-05-06 18:09:44",,124.6
"2019-05-06 18:13:11",,124
"2019-05-06 18:17:13",,124.4
"2019-05-06 18:19:47",,124.5
"2019-05-06 18:20:21",128.9
"2019-05-06 18:22:23",,124.4
"2019-05-06 18:25:27",,124.3
"2019-05-06 18:28:24",,124.4
"2019-05-06 18:31:07",,124.3
"2019-05-06 18:32:38",128.9
"2019-05-06 18:33:45",,124.3
"2019-05-06 18:36:14",,124.5
"2019-05-06 18:38:47",,124.6
"2019-05-06 18:41:13",,124.8
"2019-05-06 18:43:29",128.8
"2019-05-06 18:44:08",,124.6
"2019-05-06 18:46:43",,124.3
"2019-05-06 18:49:02",,124.4
"2019-05-06 18:51:13",128.7
"2019-05-06 18:51:46",,124.7
"2019-05-06 18:54:34",,124.4
"2019-05-06 18:57:42",,123
"2019-05-06 19:01:56",,123.8
"2019-05-06 19:02:27",128.8
"2019-05-06 19:05:38",,124.6
"2019-05-06 19:08:28",,124.6
"2019-05-06 19:11:26",,123.2
"2019-05-06 19:13:59",128.8
"2019-05-06 19:14:24",,121.7
"2019-05-06 19:17:21",,121.7
"2019-05-06 19:20:09",,121.4
"2019-05-06 19:22:46",,120.9
"2019-05-06 19:26:00",,120.7
"2019-05-06 19:28:34",,121.3
"2019-05-06 19:31:25",,121.3
"2019-05-06 19:34:38",,120.2
"2019-05-06 19:36:49",129.2
"2019-05-06 19:37:20",,120.8
"2019-05-06 19:40:49",,122
"2019-05-06 19:43:20",,123.6
"2019-05-06 19:46:13",,123.9
"2019-05-06 19:49:04",,124.2
"2019-05-06 19:50:37",129.3
"2019-05-06 19:52:58",,124.6
"2019-05-06 19:55:48",,123.8
"2019-05-06 19:59:04",,121.8
"2019-05-06 20:02:37",,122.5
"2019-05-06 20:05:14",,124.4
"2019-05-06 20:07:44",,124.7
"2019-05-06 20:08:37",129.2
"2019-05-06 20:10:45",,124.4
"2019-05-06 20:13:18",,122.9
"2019-05-06 20:16:07",,124.1
"2019-05-06 20:19:06",,124.4
"2019-05-06 20:21:01",129
"2019-05-06 20:22:06",,123.6
"2019-05-06 20:25:38",,123.5
"2019-05-06 20:29:47",,121.2
"2019-05-06 20:32:09",,120.4
"2019-05-06 20:35:13",,120.1
"2019-05-06 20:37:51",,119.9
"2019-05-06 20:38:31",129.1
"2019-05-06 20:40:49",,118.9
"2019-05-06 20:43:37",,118.9
"2019-05-06 20:47:04",,119.4
"2019-05-06 20:49:51",,119.7
"2019-05-06 20:52:54",,121.6
"2019-05-06 20:54:59",129.2
"2019-05-06 20:55:22",,123.5
"2019-05-06 20:57:54",,123.9
"2019-05-06 21:03:09",,124.2
"2019-05-06 21:29:37",129
"2019-05-06 21:31:23",,121.4
"2019-05-06 21:57:28",,120.7
"2019-05-06 22:23:26",,123.2
"2019-05-06 22:46:17",129
"2019-05-06 22:51:41",,123.6
"2019-05-06 23:21:16",,120.4
"2019-05-06 23:48:42",,121
"2019-05-07 00:06:38",129
"2019-05-07 00:15:33",,123.3
"2019-05-07 00:43:32",,123.5
"2019-05-07 01:13:15",,124.6
"2019-05-07 01:41:50",128.8
"2019-05-07 01:42:59",,124.6
"2019-05-07 02:12:40",,124.6
"2019-05-07 02:42:25",,124.7
"2019-05-07 03:02:08",128.9
"2019-05-07 03:08:53",,123.5
"2019-05-07 03:38:36",,124.6
"2019-05-07 04:08:26",,124.6
"2019-05-07 04:22:25",128.9
"2019-05-07 04:34:57",,121.8
"2019-05-07 05:03:56",,123.4
"2019-05-07 05:33:33",,120.1
"2019-05-07 05:42:45",129.2
"2019-05-07 05:58:39",,122.8
"2019-05-07 06:28:20",,119.6
"2019-05-07 06:58:04",,118.2
"2019-05-07 07:01:47",129.1
"2019-05-07 07:27:46",,118.7
"2019-05-07 07:57:28",,118
"2019-05-07 08:22:05",129
"2019-05-07 08:27:09",,119.2
"2019-05-07 08:55:11",,123.3
"2019-05-07 09:24:54",,124.2
"2019-05-07 09:42:23",129.1
"2019-05-07 09:52:40",,123.5
"2019-05-07 10:17:22",,122.6
"2019-05-07 10:46:24",,124.5
"2019-05-07 11:00:57",129
"2019-05-07 11:12:04",,122.1
"2019-05-07 11:41:46",,124.8
"2019-05-07 12:11:27",,124.7
"2019-05-07 12:20:17",128.8
"2019-05-07 12:41:09",,124.8
"2019-05-07 13:10:58",,124.6
"2019-05-07 13:40:35",,124.7
"2019-05-07 13:40:37",128.7
"2019-05-07 14:10:18",,124.6
"2019-05-07 14:39:58",,124.6
"2019-05-07 14:57:19",128.6
