"Time","TMV 1 DHW Outlet","TMV 1 DHW Inlet"
"2019-05-07 20:04:13",,141.4
"2019-05-07 20:30:55",,141.3
"2019-05-07 20:57:34",,142.1
"2019-05-07 21:01:10",128.8
"2019-05-07 21:47:59",,141.7
"2019-05-07 22:14:41",,141.6
"2019-05-07 23:14:47",128.6
"2019-05-07 23:28:43",,141.7
"2019-05-07 23:55:22",,141.9
"2019-05-08 00:22:04",,141.5
"2019-05-08 00:35:01",128.6
"2019-05-08 00:48:47",,141.8
"2019-05-08 01:15:28",,141.3
"2019-05-08 01:42:12",,141.6
"2019-05-08 01:55:28",128.5
"2019-05-08 02:08:51",,141.6
"2019-05-08 02:35:36",,141.2
"2019-05-08 03:02:14",,141.6
"2019-05-08 03:15:44",128.5
"2019-05-08 03:28:54",,141.4
"2019-05-08 03:55:34",,141.2
"2019-05-08 04:22:11",,141.8
"2019-05-08 04:36:09",128.5
"2019-05-08 04:48:53",,141.3
"2019-05-08 05:15:32",,141.7
"2019-05-08 05:42:15",,141.1
"2019-05-08 05:56:45",128.6
"2019-05-08 06:08:57",,137.7
"2019-05-08 06:35:37",,136.3
"2019-05-08 07:02:15",,136.3
"2019-05-08 07:16:51",128.2
"2019-05-08 07:28:18",,136.1
"2019-05-08 07:54:58",,136
"2019-05-08 08:21:41",,135.7
"2019-05-08 08:57:54",128.2
"2019-05-08 09:09:06",,137.5
"2019-05-08 10:02:27",,141
"2019-05-08 10:59:31",,140.5
"2019-05-08 11:03:27",128.5
"2019-05-08 11:26:14",,141.2
"2019-05-08 11:52:17",,139.9
"2019-05-08 12:19:00",,141.2
"2019-05-08 12:22:23",128.3
"2019-05-08 12:45:40",,141.1
"2019-05-08 13:12:18",,140
"2019-05-08 13:39:05",,141.5
"2019-05-08 13:41:06",128.4
"2019-05-08 14:04:38",,140.7
"2019-05-08 14:31:19",,140.9
"2019-05-08 14:55:53",128.4
"2019-05-08 14:57:59",,141.6
"2019-05-08 15:19:45",,140.6
"2019-05-08 15:46:24",,141.5
"2019-05-08 16:32:06",,141.2
"2019-05-08 16:38:23",128.6
"2019-05-08 16:58:45",,138.9
"2019-05-08 17:24:20",,138.8
"2019-05-08 17:51:00",,141.7
"2019-05-08 17:58:40",128.5
"2019-05-08 18:40:59",,141.2
"2019-05-08 19:07:39",,140.9
"2019-05-08 19:20:56",128.5
"2019-05-08 19:32:53",,140.3
"2019-05-08 19:59:30",,140.6
"2019-05-08 20:26:12",,141
"2019-05-08 20:39:30",128.7
"2019-05-08 20:52:09",,140.8
"2019-05-08 21:15:05",,139
"2019-05-08 21:41:52",,140.8
"2019-05-08 21:56:27",128.6
"2019-05-08 22:08:26",,140.7
"2019-05-08 22:35:00",,139.2
"2019-05-08 23:01:37",,141
"2019-05-08 23:16:54",128.5
"2019-05-08 23:28:19",,141.1
"2019-05-08 23:53:06",,139.7
"2019-05-09 00:19:47",,141.4
"2019-05-09 00:36:42",128.6
"2019-05-09 00:46:28",,141.3
"2019-05-09 01:13:10",,140.3
"2019-05-09 01:39:51",,142.3
"2019-05-09 01:56:56",128.9
"2019-05-09 02:06:33",,142.2
"2019-05-09 02:33:11",,141.1
"2019-05-09 02:59:52",,142.1
"2019-05-09 03:26:34",,141.9
"2019-05-09 03:32:09",129.1
"2019-05-09 03:53:15",,141.1
"2019-05-09 04:19:53",,141.9
"2019-05-09 04:46:34",,142.1
"2019-05-09 04:52:19",129.3
"2019-05-09 05:13:12",,140.6
"2019-05-09 05:39:48",,139.6
"2019-05-09 06:06:31",,139.2
"2019-05-09 06:12:35",129.4
"2019-05-09 06:33:15",,138
"2019-05-09 06:59:55",,137
"2019-05-09 07:26:34",,137.2
"2019-05-09 07:56:40",129.3
"2019-05-09 08:22:49",,136.4
"2019-05-09 08:49:29",,137.3
"2019-05-09 09:16:09",,140.7
"2019-05-09 09:16:57",129.2
"2019-05-09 09:43:03",,141.5
"2019-05-09 10:08:13",,141.8
"2019-05-09 10:31:09",129.1
"2019-05-09 10:34:56",,139
"2019-05-09 10:58:00",,140.9
"2019-05-09 11:24:37",,142.2
"2019-05-09 11:48:38",128.9
"2019-05-09 11:51:19",,142
"2019-05-09 12:18:01",,139.4
"2019-05-09 12:43:09",,139.9
"2019-05-09 13:06:42",128.7
"2019-05-09 13:09:44",,141.4
"2019-05-09 13:36:23",,141.2
"2019-05-09 14:03:01",,141.3
"2019-05-09 14:26:13",128.5
"2019-05-09 14:29:44",,140.7
"2019-05-09 14:56:29",,141.1
"2019-05-09 15:23:10",,140.5
"2019-05-09 15:43:08",128.6
"2019-05-09 15:48:05",,140.9
"2019-05-09 16:14:44",,140.1
"2019-05-09 16:52:47",,140.4
"2019-05-09 17:02:07",128.6
"2019-05-09 17:19:25",,140.2
"2019-05-09 17:45:04",,141
"2019-05-09 18:11:44",,139.5
"2019-05-09 18:22:19",128.7
"2019-05-09 18:37:15",,140.4
"2019-05-09 19:24:40",,141
"2019-05-09 19:51:21",,141.2
"2019-05-09 19:58:30",128.6
"2019-05-09 20:07:26",128.5
"2019-05-09 20:12:13",128.9
"2019-05-09 20:18:02",,141.3
"2019-05-09 20:21:08",128.8
"2019-05-09 20:30:03",128.4
"2019-05-09 20:36:57",128.5
"2019-05-09 20:43:27",128.4
"2019-05-09 20:44:42",,140.9
"2019-05-09 20:48:07",128.8
"2019-05-09 20:56:43",128.8
"2019-05-09 21:05:39",128.9
"2019-05-09 21:11:20",,141.3
"2019-05-09 21:14:34",129.2
"2019-05-09 21:23:29",128.8
"2019-05-09 21:32:24",128.4
