"Time","01-01 Riser Return","01 Riser Return"
"2019-04-23 07:39:25",,100.8
"2019-04-23 07:59:40",90.8
"2019-04-23 08:15:13",,97.4
"2019-04-23 08:20:32",90.3
"2019-04-23 08:41:32",91.2
"2019-04-23 08:51:01",,98.4
"2019-04-23 09:02:15",90.4
"2019-04-23 09:23:08",90
"2019-04-23 09:26:52",,96.8
"2019-04-23 09:43:57",89.8
"2019-04-23 10:02:45",,96.5
"2019-04-23 10:04:48",90.2
"2019-04-23 10:25:37",90.2
"2019-04-23 10:38:33",,96.5
"2019-04-23 10:46:01",88.6
"2019-04-23 11:06:52",87.4
"2019-04-23 11:14:18",,93.4
"2019-04-23 11:27:43",86.4
"2019-04-23 11:48:39",85.8
"2019-04-23 11:50:14",,91.5
"2019-04-23 12:09:28",87.1
"2019-04-23 12:26:05",,95.4
"2019-04-23 12:30:19",91.1
"2019-04-23 12:51:11",91.3
"2019-04-23 13:01:45",,98.4
"2019-04-23 13:12:03",91.2
"2019-04-23 13:32:55",91
"2019-04-23 13:37:33",,97.5
"2019-04-23 13:53:45",91
"2019-04-23 14:13:21",,98
"2019-04-23 14:14:36",91.5
"2019-04-23 14:35:38",91
"2019-04-23 14:49:10",,97.6
"2019-04-23 14:56:15",90.7
"2019-04-23 15:17:05",92.1
"2019-04-23 15:24:56",,99.1
"2019-04-23 15:37:57",92.6
"2019-04-23 15:58:47",92.5
"2019-04-23 16:00:53",,99.9
"2019-04-23 16:19:40",93.6
"2019-04-23 16:36:36",,100.7
"2019-04-23 16:40:33",93
"2019-04-23 17:01:25",92.4
"2019-04-23 17:12:24",,99.4
"2019-04-23 17:22:15",91.9
"2019-04-23 17:43:15",91.2
"2019-04-23 17:48:12",,97.9
"2019-04-23 18:04:07",90.7
"2019-04-23 18:23:59",,97.1
"2019-04-23 18:24:52",90.6
"2019-04-23 18:45:43",90.6
"2019-04-23 18:59:48",,97.3
"2019-04-23 19:06:32",90.9
"2019-04-23 19:27:25",91.8
"2019-04-23 19:35:37",,98.9
"2019-04-23 19:48:19",92.3
"2019-04-23 20:09:12",91.5
"2019-04-23 20:09:55",,98.6
"2019-04-23 20:30:05",91.3
"2019-04-23 20:45:46",,99.1
"2019-04-23 20:50:57",92.2
"2019-04-23 21:11:42",91.9
"2019-04-23 21:21:36",,98.9
"2019-04-23 21:32:33",90.5
"2019-04-23 21:53:25",89.3
"2019-04-23 21:57:22",,95.9
"2019-04-23 22:14:21",88.9
"2019-04-23 22:33:11",,95.3
"2019-04-23 22:35:05",89
"2019-04-23 22:55:55",88.6
"2019-04-23 23:09:00",,95
"2019-04-23 23:16:44",88.2
"2019-04-23 23:37:35",87.1
"2019-04-23 23:44:50",,93.4
"2019-04-23 23:58:27",86.5
"2019-04-24 00:19:22",87.8
"2019-04-24 00:20:35",,93.5
"2019-04-24 00:40:06",90.6
"2019-04-24 00:56:26",,97.3
"2019-04-24 01:01:10",89.8
"2019-04-24 01:21:49",89.2
"2019-04-24 01:32:08",,95.2
"2019-04-24 01:42:47",87.2
"2019-04-24 02:03:35",87.1
"2019-04-24 02:08:02",,93.3
"2019-04-24 02:24:23",88.2
"2019-04-24 02:43:46",,96.3
"2019-04-24 02:45:26",90.8
"2019-04-24 03:06:17",91.4
"2019-04-24 03:19:36",,97.9
"2019-04-24 03:26:58",90.4
"2019-04-24 03:47:51",89.9
"2019-04-24 03:55:17",,96.3
"2019-04-24 04:08:47",90
"2019-04-24 04:29:35",90.6
"2019-04-24 04:31:09",,97
"2019-04-24 04:50:39",91.3
"2019-04-24 05:06:52",,98.3
"2019-04-24 05:11:18",91.3
"2019-04-24 05:32:14",91.4
"2019-04-24 05:42:41",,98.1
"2019-04-24 05:53:04",91.1
"2019-04-24 06:13:55",91.7
"2019-04-24 06:18:35",,98.3
"2019-04-24 06:34:47",91.8
"2019-04-24 06:54:21",,99.5
"2019-04-24 06:55:34",92.5
"2019-04-24 07:16:25",91.9
"2019-04-24 07:29:15",,98.1
"2019-04-24 07:37:17",89.9
"2019-04-24 07:58:09",90.5
"2019-04-24 08:05:02",,97.8
"2019-04-24 08:19:05",92.3
"2019-04-24 08:38:39",,99.9
"2019-04-24 08:39:55",92
"2019-04-24 09:00:50",90.5
"2019-04-24 09:14:31",,97.2
"2019-04-24 09:21:37",89.7
"2019-04-24 09:42:26",89
"2019-04-24 09:50:19",,95.7
"2019-04-24 10:03:21",89.7
"2019-04-24 10:24:12",90.4
"2019-04-24 10:26:08",,97.8
"2019-04-24 10:44:58",91.2
"2019-04-24 11:01:57",,98.1
"2019-04-24 11:05:48",91.3
"2019-04-24 11:26:38",92.3
"2019-04-24 11:37:45",,99.6
"2019-04-24 11:47:33",92.1
"2019-04-24 12:08:18",91.1
"2019-04-24 12:13:30",,98.3
"2019-04-24 12:29:09",90.8
"2019-04-24 12:49:21",,99.1
"2019-04-24 12:50:02",92.4
"2019-04-24 13:10:52",92.8
"2019-04-24 13:25:03",,99.6
"2019-04-24 13:31:44",91.3
"2019-04-24 13:52:33",92.2
"2019-04-24 14:00:56",,99.8
"2019-04-24 14:13:24",93.5
"2019-04-24 14:34:16",93.3
"2019-04-24 14:36:45",,101
"2019-04-24 14:55:08",92.2
"2019-04-24 15:12:40",,99.1
"2019-04-24 15:16:04",92
"2019-04-24 15:36:52",92
"2019-04-24 15:48:32",,99.6
"2019-04-24 15:57:43",92.2
"2019-04-24 16:18:33",92.3
"2019-04-24 16:24:15",,99.7
"2019-04-24 16:39:28",92
"2019-04-24 17:00:06",,98.3
"2019-04-24 17:00:13",90.9
"2019-04-24 17:21:04",90
"2019-04-24 17:35:54",,97.1
"2019-04-24 17:41:54",91
"2019-04-24 18:02:43",90.8
"2019-04-24 18:11:32",,98.6
"2019-04-24 18:23:40",91.8
"2019-04-24 18:44:28",90.8
"2019-04-24 18:47:22",,98.2
"2019-04-24 19:05:27",90.5
"2019-04-24 19:23:07",,97.4
"2019-04-24 19:26:17",90.9
"2019-04-24 19:46:58",91.2
"2019-04-24 19:58:55",,98.5
"2019-04-24 20:07:43",91.5
"2019-04-24 20:28:33",91.8
"2019-04-24 20:33:54",,99
"2019-04-24 20:38:46",88.6
"2019-04-24 20:59:35",91.5
"2019-04-24 21:09:41",,98.5
"2019-04-24 21:20:28",89.5
"2019-04-24 21:41:25",89.5
"2019-04-24 21:45:29",,96.9
"2019-04-24 22:02:13",90.5
"2019-04-24 22:21:22",,97.2
"2019-04-24 22:23:03",90.2
"2019-04-24 22:43:54",91
"2019-04-24 22:57:05",,98
"2019-04-24 23:04:44",89.6
"2019-04-24 23:25:34",88.3
"2019-04-24 23:32:55",,95.3
"2019-04-24 23:46:26",87.5
"2019-04-25 00:07:16",87.5
"2019-04-25 00:08:42",,94
"2019-04-25 00:28:12",88.9
"2019-04-25 00:44:24",,96.7
"2019-04-25 00:49:04",90.2
"2019-04-25 01:09:51",89
"2019-04-25 01:20:12",,95.9
"2019-04-25 01:30:40",88.1
"2019-04-25 01:51:34",87.1
"2019-04-25 01:55:58",,93.9
"2019-04-25 02:12:25",86.2
"2019-04-25 02:31:50",,92.9
"2019-04-25 02:33:08",87.1
"2019-04-25 02:53:58",89
"2019-04-25 03:07:35",,96.5
"2019-04-25 03:14:44",90.1
"2019-04-25 03:35:37",90.1
"2019-04-25 03:43:22",,97
"2019-04-25 03:56:28",89.3
"2019-04-25 04:17:22",89.3
"2019-04-25 04:19:09",,96.1
"2019-04-25 04:38:08",89
"2019-04-25 04:54:56",,96.1
"2019-04-25 04:58:59",89.6
"2019-04-25 05:19:51",91.5
"2019-04-25 05:30:45",,99
"2019-04-25 05:40:40",91.3
"2019-04-25 06:01:32",90.1
