"Time","02-02 Riser Return","02 Riser Return"
"2019-04-23 22:12:49",92.6
"2019-04-23 22:24:32",,89.7
"2019-04-23 22:39:43",95.1
"2019-04-23 22:42:25",,89.9
"2019-04-23 23:00:19",,88.7
"2019-04-23 23:06:31",93.5
"2019-04-23 23:18:19",,88.7
"2019-04-23 23:33:24",94.7
"2019-04-23 23:36:09",,89.6
"2019-04-23 23:54:03",,89.1
"2019-04-24 00:00:16",93.6
"2019-04-24 00:11:59",,87.7
"2019-04-24 00:27:13",92.6
"2019-04-24 00:29:55",,88.4
"2019-04-24 00:47:59",,89.9
"2019-04-24 00:54:01",95.9
"2019-04-24 01:05:47",,92.3
"2019-04-24 01:20:51",99.9
"2019-04-24 01:23:39",,93.6
"2019-04-24 01:41:31",,91.6
"2019-04-24 01:47:42",96.1
"2019-04-24 01:59:23",,90.6
"2019-04-24 02:14:39",95.7
"2019-04-24 02:17:27",,90.2
"2019-04-24 02:35:13",,88.3
"2019-04-24 02:41:26",92.1
"2019-04-24 02:53:08",,86.9
"2019-04-24 03:08:20",91.4
"2019-04-24 03:11:02",,87.1
"2019-04-24 03:28:59",,90.2
"2019-04-24 03:32:28",97.1
"2019-04-24 03:46:52",,94.1
"2019-04-24 03:59:20",100.2
"2019-04-24 04:04:45",,92.8
"2019-04-24 04:22:45",,89.5
"2019-04-24 04:26:14",93.6
"2019-04-24 04:40:33",,88.3
"2019-04-24 04:49:38",93.9
"2019-04-24 04:58:28",,89.8
"2019-04-24 05:16:23",,88.7
"2019-04-24 05:16:30",94.3
"2019-04-24 05:34:17",,89.5
"2019-04-24 05:43:20",96.6
"2019-04-24 05:52:13",,92.5
"2019-04-24 06:10:06",,94.6
"2019-04-24 06:10:13",101.5
"2019-04-24 06:28:00",,94.6
"2019-04-24 06:33:46",101.9
"2019-04-24 06:45:58",,94.4
"2019-04-24 06:55:24",100.4
"2019-04-24 07:01:38",,94.5
"2019-04-24 07:17:19",103.4
"2019-04-24 07:19:34",,95.1
"2019-04-24 07:37:29",,95
"2019-04-24 07:43:51",103
"2019-04-24 07:55:23",,94.9
"2019-04-24 08:10:53",102.5
"2019-04-24 08:13:17",,94.7
"2019-04-24 08:31:10",,93.7
"2019-04-24 08:37:35",100.5
"2019-04-24 08:49:04",,92.6
"2019-04-24 09:04:30",98
"2019-04-24 09:07:02",,91.6
"2019-04-24 09:24:55",,91.5
"2019-04-24 09:31:23",97
"2019-04-24 09:42:50",,89.3
"2019-04-24 09:55:10",92.4
"2019-04-24 10:00:46",,87.6
"2019-04-24 10:14:33",97.2
"2019-04-24 10:18:19",,91.6
"2019-04-24 10:36:04",,94.3
"2019-04-24 10:41:30",101.2
"2019-04-24 10:54:00",,92.3
"2019-04-24 11:04:53",97.4
"2019-04-24 11:11:56",,92.4
"2019-04-24 11:29:50",,93
"2019-04-24 11:31:45",100
"2019-04-24 11:47:46",,91.9
"2019-04-24 11:58:42",99.5
"2019-04-24 12:05:45",,93.4
"2019-04-24 12:23:57",,92.4
"2019-04-24 12:25:31",99.3
"2019-04-24 12:41:35",,91.8
"2019-04-24 12:51:04",99
"2019-04-24 12:59:23",,92.1
"2019-04-24 13:16:40",99.3
"2019-04-24 13:17:18",,92.2
"2019-04-24 13:32:34",100.1
"2019-04-24 13:32:57",,92.8
"2019-04-24 13:49:58",,96
"2019-04-24 13:57:36",104.5
"2019-04-24 14:07:53",,95.4
"2019-04-24 14:24:28",103.5
"2019-04-24 14:25:46",,95.4
"2019-04-24 14:43:45",,93.1
"2019-04-24 14:51:14",99
"2019-04-24 15:01:36",,91.7
"2019-04-24 15:16:30",97.4
"2019-04-24 15:19:35",,90.8
"2019-04-24 15:37:25",,92.6
"2019-04-24 15:40:37",100.8
"2019-04-24 15:55:21",,94.1
"2019-04-24 16:06:14",100.8
"2019-04-24 16:13:17",,93.5
"2019-04-24 16:31:12",,92.3
"2019-04-24 16:33:07",98.8
"2019-04-24 16:49:07",,91.5
"2019-04-24 16:53:29",98.3
"2019-04-24 17:06:26",,93
"2019-04-24 17:20:22",101.4
"2019-04-24 17:24:22",,93.8
"2019-04-24 17:42:14",,91.7
"2019-04-24 17:47:10",97.8
"2019-04-24 18:00:12",,90.8
"2019-04-24 18:14:02",96.8
"2019-04-24 18:18:09",,90.9
"2019-04-24 18:36:05",,90
"2019-04-24 18:41:01",96.1
"2019-04-24 18:53:58",,89.8
"2019-04-24 19:07:47",97.8
"2019-04-24 19:11:53",,91.6
"2019-04-24 19:29:47",,93.2
"2019-04-24 19:34:40",100.5
"2019-04-24 19:47:45",,91.7
"2019-04-24 20:01:32",96.1
"2019-04-24 20:05:35",,89.9
"2019-04-24 20:23:35",,89
"2019-04-24 20:28:25",94.2
"2019-04-24 20:41:51",,88.2
"2019-04-24 20:55:19",93.7
"2019-04-24 20:59:22",,87.9
"2019-04-24 21:14:57",98.1
"2019-04-24 21:15:35",,90.6
"2019-04-24 21:33:30",,95.6
"2019-04-24 21:41:50",104.9
"2019-04-24 21:51:22",,95.9
"2019-04-24 22:08:34",100.9
"2019-04-24 22:09:17",,93.2
"2019-04-24 22:26:25",,90.7
"2019-04-24 22:27:41",97.2
"2019-04-24 22:44:13",,90.7
"2019-04-24 22:54:33",94.5
"2019-04-24 23:02:08",,87.2
"2019-04-24 23:20:07",,85.4
"2019-04-24 23:21:24",89.2
"2019-04-24 23:38:03",,85.6
"2019-04-24 23:43:30",89.7
"2019-04-24 23:55:56",,85.9
"2019-04-25 00:08:28",92.8
"2019-04-25 00:12:59",,88.1
"2019-04-25 00:30:54",,93.1
"2019-04-25 00:32:14",100.4
"2019-04-25 00:48:50",,92.2
"2019-04-25 00:59:04",96.3
"2019-04-25 01:06:45",,88.8
"2019-04-25 01:24:39",,87.3
"2019-04-25 01:25:07",91.4
"2019-04-25 01:42:39",,88.3
"2019-04-25 01:50:42",94.4
"2019-04-25 02:00:40",,89.5
"2019-04-25 02:16:50",98.8
"2019-04-25 02:18:25",,92.2
"2019-04-25 02:36:22",,91.9
"2019-04-25 02:43:41",96.9
"2019-04-25 02:54:18",,88.7
"2019-04-25 03:07:43",94.6
"2019-04-25 03:12:03",,90
"2019-04-25 03:29:59",,89.8
"2019-04-25 03:34:50",95.5
"2019-04-25 03:47:54",,87.6
"2019-04-25 04:01:35",91.4
"2019-04-25 04:05:50",,86.1
"2019-04-25 04:23:45",,85.4
"2019-04-25 04:25:54",90
"2019-04-25 04:41:31",,88.9
"2019-04-25 04:49:52",96.9
"2019-04-25 04:59:31",,92.3
"2019-04-25 05:16:17",101.5
"2019-04-25 05:17:21",,94.6
"2019-04-25 05:35:17",,94
"2019-04-25 05:43:14",100.9
"2019-04-25 05:53:12",,92.9
"2019-04-25 06:05:36",96.9
"2019-04-25 06:09:43",,90.7
"2019-04-25 06:27:43",,92.4
"2019-04-25 06:30:01",99
"2019-04-25 06:45:36",,94
"2019-04-25 06:54:27",102
"2019-04-25 07:03:27",,93.9
"2019-04-25 07:20:34",102.3
"2019-04-25 07:21:23",,94.6
"2019-04-25 07:39:19",,95
"2019-04-25 07:46:37",102.9
"2019-04-25 07:57:15",,93.9
"2019-04-25 08:03:21",101
"2019-04-25 08:14:15",,94.6
"2019-04-25 08:30:09",101.8
"2019-04-25 08:32:12",,93.5
"2019-04-25 08:50:04",,94.3
"2019-04-25 08:52:56",101.9
"2019-04-25 09:08:08",,92.2
"2019-04-25 09:19:50",97.6
"2019-04-25 09:25:53",,90.8
"2019-04-25 09:40:13",99.1
"2019-04-25 09:43:57",,92.6
"2019-04-25 10:01:43",,94.2
"2019-04-25 10:06:04",102.6
"2019-04-25 10:19:39",,93.2
"2019-04-25 10:32:59",97.4
"2019-04-25 10:37:39",,89.9
"2019-04-25 10:55:25",,86.6
"2019-04-25 10:59:44",90.5
"2019-04-25 11:11:21",,85.9
"2019-04-25 11:13:14",91.1
"2019-04-25 11:26:13",,90.2
"2019-04-25 11:31:58",99.6
"2019-04-25 11:43:42",,94.7
"2019-04-25 11:59:12",101.7
"2019-04-25 12:01:35",,93.9
"2019-04-25 12:19:28",,94.2
